year,km_driven,owner,mileage,selling_price
2014,145500,1,23.4,450000
2014,120000,2,21.14,370000
2006,140000,3,17.7,158000
2010,127000,1,23,225000
2007,120000,1,16.1,130000
2017,45000,1,20.14,440000
2007,175000,1,17.3,96000
2001,5000,2,16.1,45000
2011,90000,1,23.59,350000
2013,169000,1,20,200000
2014,68000,2,19.01,500000
2005,100000,2,17.3,92000
2009,140000,2,19.3,280000
2009,90000,2,18.9,180000
2016,40000,1,18.15,400000
2016,70000,2,24.52,778000
2012,53000,2,23,500000
2002,80000,2,19.7,150000
2016,100000,1,22.54,680000
2011,100000,2,21,174000
2017,50000,1,25.5,950000
2015,40000,1,26.59,525000
2012,72000,1,21.5,600000
2018,35000,1,20.3,500000
2016,45000,1,21.4,575000
2017,28000,1,24.7,275000
2013,70000,1,18.2,300000
2009,120000,1,18.9,220000
2018,25000,1,16.8,254999
2017,70000,1,24.3,670000
2012,35000,2,14,150000
2018,2388,1,18.6,730000
2017,16200,1,24.3,650000
2019,10000,2,33.44,330000
2019,15000,1,23.95,366000
2019,5000,1,17,1149000
2016,42000,1,20.63,150000
2011,60000,2,13.93,425000
2012,76000,1,16.1,150000
2019,5000,1,16,2100000
2018,28900,1,17.8,925000
2013,86300,1,16.8,425000
2018,23300,1,18.5,675000
2018,32600,1,24.3,819999
2018,10300,1,23.95,390000
2014,77000,1,12.55,1500000
2013,99000,1,12.99,700000
2014,27800,2,14.8,1450000
2015,49800,1,24.7,425000
2013,151000,1,13.5,1090000
2015,54700,1,26,600000
2018,64000,1,20.65,850000
2015,63000,1,27.3,525000
2016,127700,2,11.36,1650000
2016,99000,1,12.99,950000
2013,33900,2,17.68,1750000
2018,25000,1,14.28,1590000
2013,50000,1,18.53,1689999
2013,59000,1,14.84,1425000
2011,120000,1,21.12,265000
2011,110000,3,20.36,190000
2013,60000,1,21.27,425000
2015,147000,2,26.59,630000
2017,25000,3,18.16,600000
2019,30000,1,21.4,650000
2016,40000,1,22,540000
2015,135000,1,25.1,630000
2018,30000,1,20.51,448000
2017,80000,1,21.66,500000
2016,70000,1,24.3,745000
2019,9850,1,24.3,1025000
2011,60000,2,20.36,235000
2016,70000,1,25.2,630000
2015,78000,2,12.55,1700000
2013,120000,2,22.9,450000
2012,120000,2,16.02,450000
2013,170000,1,20.54,450000
2016,140000,1,12.99,1200000
2015,90000,1,22.77,610000
2016,30000,2,15.71,2500000
2017,10000,1,23.1,484999
2016,49000,1,19.02,275000
2016,32000,1,24.7,315000
2016,38000,1,24.7,275000
2012,28000,1,19.81,290000
2017,32000,1,14,280000
2010,44000,1,26.2,225000
2015,42000,1,16.47,455000
2015,45000,2,19.81,351000
2012,12000,2,15.04,535000
2009,55500,1,18.2,175000
2013,61500,1,18.5,525000
2016,150000,1,26.59,600000
2016,72000,1,19.1,565000
2008,68000,3,19.7,120000
2017,110000,1,22.54,725000
2009,77000,2,21.79,185000
2010,100000,2,18.8,200000
2019,10000,1,21.21,615000
2016,100000,3,15.37,270000
2018,35000,1,21.4,610000
2014,70000,2,11.79,625000
2020,5000,2,19,400000
2017,37800,1,17,866000
2010,114000,1,14.3,700000
2010,48000,1,15.8,300000
2019,32000,1,15.1,1700000
2016,100000,1,19.09,375000
2013,150000,2,22.32,522000
2013,69000,1,21.9,451999
2009,100000,2,14.53,300000
2020,13000,1,21.63,475000
2016,60000,1,24.3,780000
2017,40000,1,20.85,595000
2017,35000,1,20.51,440000
2014,70000,3,20.45,400000
2016,50000,1,19.67,1140000
2017,76139,1,23,850000
2012,175000,4,19.3,370000
2018,25000,1,23.01,350000
2015,40000,2,23.1,360000
2008,65000,4,19.7,105000
2013,90000,2,20.77,625000
2009,80000,2,17.92,135000
2015,110000,2,20.77,700000
2019,1303,1,17.8,690000
2018,31800,1,17.01,3975000
2019,20000,1,22.37,5150000
2017,45000,1,19.33,3200000
2017,17000,1,9.5,4100000
2019,21000,1,12.83,4500000
2017,37000,1,13.5,6000000
2018,29500,1,22.48,3790000
2019,7500,1,16.78,5800000
2018,50000,1,14.67,1864999
2016,35000,1,15,2700000
2019,19000,1,13.96,1750000
2017,41000,1,18,795000
2013,39000,1,14.28,625000
2018,22000,1,18,3400000
2015,53000,1,12.07,2650000
2015,40000,1,26.21,535000
2017,47000,1,13.5,5850000
2010,72200,2,10.8,975000
2016,49900,1,16.3,805000
2017,9000,1,13.6,2625000
2018,11000,1,17,811000
2011,49000,1,15.04,375000
2012,95000,1,16.3,550000
2016,11000,1,14.3,645000
2018,18000,1,15.04,2550000
2014,46100,1,16.02,599000
2017,16000,1,14.74,2700000
2017,18000,1,15.6,875000
2019,9654,1,19.56,894999
2011,11000,1,23.95,175000
2012,24300,1,21.21,340000
