brand,model,brand_encoded,model_encoded,year,km_driven,owner,mileage,engine,max_power,seats,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,selling_price
Maruti,Swift,20,152,2014,145500,1,23.4,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,450000
Skoda,Rapid,26,126,2014,120000,2,21.14,1498,103.52,5.0,0,1,0,0,0,1,0,0,1,370000
Honda,City,10,35,2006,140000,3,17.7,1497,78.0,5.0,0,0,0,1,0,1,0,0,1,158000
Hyundai,i20,11,196,2010,127000,1,23.0,1396,90.0,5.0,0,1,0,0,0,1,0,0,1,225000
Maruti,Swift,20,152,2007,120000,1,16.1,1298,88.2,5.0,0,0,0,1,0,1,0,0,1,130000
Hyundai,Xcent,11,188,2017,45000,1,20.14,1197,81.86,5.0,0,0,0,1,0,1,0,0,1,440000
Maruti,Wagon R,20,171,2007,175000,1,17.3,1061,57.5,5.0,0,0,1,0,0,1,0,0,1,96000
Maruti,800,20,4,2001,5000,2,16.1,796,37.0,4.0,0,0,0,1,0,1,0,0,1,45000
Toyota,Etios,28,58,2011,90000,1,23.59,1364,67.1,5.0,0,1,0,0,0,1,0,0,1,350000
Ford,Figo,9,61,2013,169000,1,20.0,1399,68.1,5.0,0,1,0,0,0,1,0,0,1,200000
Renault,Duster,25,44,2014,68000,2,19.01,1461,108.45,5.0,0,1,0,0,0,1,0,0,1,500000
Maruti,Zen,20,193,2005,100000,2,17.3,993,60.0,5.0,0,0,0,1,0,1,0,0,1,92000
Maruti,Swift,20,152,2009,140000,2,19.3,1248,73.9,5.0,0,1,0,0,0,1,0,0,1,280000
Maruti,Wagon R,20,171,2009,90000,2,18.9,1061,67.0,5.0,0,0,0,1,0,1,0,0,1,180000
Mahindra,KUV,19,87,2016,40000,1,18.15,1198,82.0,5.0,0,0,0,1,0,1,0,0,1,400000
Maruti,Ertiga,20,56,2016,70000,2,24.52,1248,88.5,7.0,0,1,0,0,0,1,0,0,1,778000
Hyundai,i20,11,196,2012,53000,2,23.0,1396,90.0,5.0,0,1,0,0,0,1,0,0,1,500000
Maruti,Alto,20,11,2002,80000,2,19.7,796,46.3,5.0,0,0,0,1,0,1,0,0,1,150000
Hyundai,i20,11,196,2016,100000,1,22.54,1396,88.73,5.0,0,1,0,0,0,1,0,0,1,680000
Mahindra,Verito,19,167,2011,100000,2,21.0,1461,64.1,5.0,0,1,0,0,0,1,0,0,1,174000
Honda,WR-V,10,170,2017,50000,1,25.5,1498,98.6,5.0,0,1,0,0,0,1,0,0,1,950000
Maruti,Swift,20,152,2015,40000,1,26.59,1248,74.0,5.0,0,1,0,0,0,1,0,0,1,525000
Maruti,SX4,20,136,2012,72000,1,21.5,1248,88.8,5.0,0,1,0,0,0,1,0,0,1,600000
Tata,Tigor,27,159,2018,35000,1,20.3,1199,83.81,5.0,0,0,0,1,0,1,0,0,1,500000
Maruti,Baleno,20,22,2016,45000,1,21.4,1197,83.1,5.0,0,0,0,1,0,1,0,0,1,575000
Maruti,Alto,20,11,2017,28000,1,24.7,796,47.3,5.0,0,0,0,1,0,1,0,0,1,275000
Chevrolet,Enjoy,4,55,2013,70000,1,18.2,1248,73.8,7.0,0,1,0,0,0,1,0,0,1,300000
Maruti,Wagon R,20,171,2009,120000,1,18.9,1061,67.0,5.0,0,0,0,1,0,1,0,0,1,220000
Maruti,Omni,20,112,2018,25000,1,16.8,796,34.2,8.0,0,0,0,1,0,1,0,0,1,254999
Maruti,Vitara,20,169,2017,70000,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,0,1,670000
Maruti,Omni,20,112,2012,35000,2,14.0,796,35.0,5.0,0,0,0,1,0,1,0,0,1,150000
Hyundai,i20,11,196,2018,2388,1,18.6,1197,81.83,5.0,0,0,0,1,0,1,0,0,1,730000
Maruti,Vitara,20,169,2017,16200,1,24.3,1248,88.5,5.0,0,1,0,0,0,1,0,0,1,650000
Maruti,Alto,20,11,2019,10000,2,33.44,796,40.3,4.0,1,0,0,0,0,1,0,0,1,330000
Maruti,Alto,20,11,2019,15000,1,23.95,998,67.1,5.0,0,0,0,1,0,1,0,0,1,366000
Hyundai,Verna,11,168,2019,5000,1,17.0,1591,121.3,5.0,0,0,0,1,0,1,0,0,1,1149000
Datsun,GO,6,69,2016,42000,1,20.63,1198,67.0,5.0,0,0,0,1,0,1,0,0,1,150000
Tata,Safari,27,137,2011,60000,2,13.93,2179,138.03,7.0,0,1,0,0,0,1,0,0,1,425000
Maruti,800,20,4,2012,76000,1,16.1,796,37.0,4.0,0,0,0,1,0,1,0,0,1,150000
